class,falls_n,finds_n,falls_frac,finds_frac,enrichment_ratio,odds_ratio,fisher_p,rank,bh_threshold,significant
Stone-uncl,40,10,0.036133694670280034,0.0002241700105359905,161.1887985546522,167.19400187441425,9.38459282306758e-56,1,0.003125,True
OC,24,55,0.02168021680216802,0.0012329350579479478,17.584232569598424,17.9517501888693,4.141906362908164e-20,2,0.00625,True
LL5,19,2747,0.017163504968383016,0.06157950189423659,0.27872107503989735,0.26612521146063084,1.803189386853479e-12,3,0.009375000000000001,True
Eucrite-mmict,18,90,0.016260162601626018,0.0020175300948239144,8.059439927732612,8.176124885215794,1.2815776696695613e-10,4,0.0125,True
H4,50,4161,0.045167118337850046,0.09327714138402564,0.4842249415845116,0.4598268782725206,3.0365095247914874e-09,5,0.015625,True
H,13,71,0.011743450767841012,0.0015916070748055325,7.378360497219996,7.454154543347839,1.1720239870925618e-07,6,0.018750000000000003,True
L,10,40,0.009033423667570008,0.000896680042143962,10.074299909665763,10.157019143117594,2.8396120367061915e-07,7,0.021875000000000002,True
L6,262,8023,0.23667570009033423,0.17985159945302517,1.3159499321113948,1.4139131063281822,2.9840382763075573e-06,8,0.025,True
L5,76,4720,0.06865401987353206,0.10580824497298752,0.6488532145208457,0.6229684854263592,3.572431426870244e-05,9,0.028125,True
Howardite,16,224,0.014453477868112014,0.0050214082360061875,2.8783714027616463,2.9059185544061803,0.0002806034717787666,10,0.03125,True
H6,91,4437,0.08220415537488708,0.09946423367481898,0.8264694990124719,0.810926904927959,0.059371827546865166,11,0.034375,False
L4,20,1233,0.018066847335140017,0.02764016229908763,0.6536447629953455,0.647272081541718,0.06134800888267558,12,0.037500000000000006,False
CM2,15,401,0.013550135501355014,0.008989217422493218,1.5073765450871468,1.514346003124058,0.14509209827243152,13,0.040625,False
"Iron, IIIAB",10,275,0.009033423667570008,0.006164675289739739,1.465352714133202,1.4695947625756194,0.24021502703278058,14,0.043750000000000004,False
LL6,42,2001,0.037940379403794036,0.0448564191082517,0.8458182832702889,0.8397378775401032,0.30236219758592164,15,0.046875,False
H5,163,6979,0.14724480578139115,0.15644825035306778,0.9411725950855534,0.9310148969912158,0.4260050800082399,16,0.05,False
