recclass,regime_id,regime_name,regime_mean_survival
L3.4,1,Unstable (Regime 1),0.014492753623188406
CO3,1,Unstable (Regime 1),0.014492753623188406
Acapulcoite,1,Unstable (Regime 1),0.014492753623188406
H~5,1,Unstable (Regime 1),0.014492753623188406
CV3,1,Unstable (Regime 1),0.014492753623188406
"Iron, IIIAB",1,Unstable (Regime 1),0.014492753623188406
H3,1,Unstable (Regime 1),0.014492753623188406
Mesosiderite,1,Unstable (Regime 1),0.014492753623188406
CK4,1,Unstable (Regime 1),0.014492753623188406
"Iron, IAB-MG",1,Unstable (Regime 1),0.014492753623188406
Iron,1,Unstable (Regime 1),0.014492753623188406
L3.5,1,Unstable (Regime 1),0.014492753623188406
"Iron, ungrouped",1,Unstable (Regime 1),0.014492753623188406
"Iron, IIAB",1,Unstable (Regime 1),0.014492753623188406
H,1,Unstable (Regime 1),0.014492753623188406
Aubrite,1,Unstable (Regime 1),0.014492753623188406
"Iron, IVA",1,Unstable (Regime 1),0.014492753623188406
EL6,1,Unstable (Regime 1),0.014492753623188406
H4-6,1,Unstable (Regime 1),0.014492753623188406
L4/5,1,Unstable (Regime 1),0.014492753623188406
Achondrite-ung,1,Unstable (Regime 1),0.014492753623188406
"Iron, IAB complex",1,Unstable (Regime 1),0.014492753623188406
L,1,Unstable (Regime 1),0.014492753623188406
CR2,2,Low-Stability (Regime 2),0.1285714285714286
EH3,2,Low-Stability (Regime 2),0.1285714285714286
Eucrite-br,2,Low-Stability (Regime 2),0.1285714285714286
CM2,2,Low-Stability (Regime 2),0.1285714285714286
H3.7,2,Low-Stability (Regime 2),0.1285714285714286
L6 ,2,Low-Stability (Regime 2),0.1285714285714286
Lunar (anorth),2,Low-Stability (Regime 2),0.1285714285714286
LL-melt breccia,2,Low-Stability (Regime 2),0.1285714285714286
H3.8,2,Low-Stability (Regime 2),0.1285714285714286
Martian (shergottite),2,Low-Stability (Regime 2),0.1285714285714286
Diogenite,2,Low-Stability (Regime 2),0.1285714285714286
H5-6,2,Low-Stability (Regime 2),0.1285714285714286
L5/6,2,Low-Stability (Regime 2),0.1285714285714286
Eucrite-mmict,2,Low-Stability (Regime 2),0.1285714285714286
Eucrite-pmict,3,Moderate-Stability (Regime 3),0.5333333333333333
H6,3,Moderate-Stability (Regime 3),0.5333333333333333
H4,3,Moderate-Stability (Regime 3),0.5333333333333333
L6,3,Moderate-Stability (Regime 3),0.5333333333333333
Ureilite,3,Moderate-Stability (Regime 3),0.5333333333333333
Eucrite,3,Moderate-Stability (Regime 3),0.5333333333333333
H5/6,3,Moderate-Stability (Regime 3),0.5333333333333333
E3,4,Low-Stability (Regime 4),0.4
H4/5,4,Low-Stability (Regime 4),0.4
OC,4,Low-Stability (Regime 4),0.4
LL,5,Low-Stability (Regime 5),0.2974358974358974
CK5,5,Low-Stability (Regime 5),0.2974358974358974
L3.8,5,Low-Stability (Regime 5),0.2974358974358974
LL3,5,Low-Stability (Regime 5),0.2974358974358974
LL6,5,Low-Stability (Regime 5),0.2974358974358974
H5,5,Low-Stability (Regime 5),0.2974358974358974
LL5,5,Low-Stability (Regime 5),0.2974358974358974
L~6,5,Low-Stability (Regime 5),0.2974358974358974
L4,5,Low-Stability (Regime 5),0.2974358974358974
Howardite,5,Low-Stability (Regime 5),0.2974358974358974
LL4,5,Low-Stability (Regime 5),0.2974358974358974
L5,5,Low-Stability (Regime 5),0.2974358974358974
L3,5,Low-Stability (Regime 5),0.2974358974358974
