recclass,sample_size,z_cv,p_cv,sig_cv,z_varlog,p_varlog,sig_varlog
L6,30,-0.25408355212824085,0.84,False,-0.16267253318169508,0.9733333333333334,False
L6,50,-0.3727060636220343,0.8266666666666667,False,-0.14758071774671652,0.9466666666666667,False
L6,75,-0.36146949018750457,0.7866666666666666,False,-0.16730859458949493,0.9866666666666667,False
L6,100,-0.801814966384314,0.48,False,-0.5128672676105959,0.72,False
L6,150,-0.7915520211965964,0.4533333333333333,False,-0.6133268694716594,0.5733333333333334,False
L6,200,-1.0341252495467774,0.30666666666666664,False,-0.6225265386599319,0.5733333333333334,False
L6,300,-0.7294223388892874,0.5866666666666667,False,-0.287591508367879,0.8133333333333334,False
H6,30,-0.3400608489771178,0.76,False,0.024843507278241632,0.9333333333333333,False
H6,50,-0.1840906912800007,0.96,False,-0.2922794371478152,0.8666666666666667,False
H6,75,-0.6843261825657854,0.5733333333333334,False,-0.3960082199977703,0.8133333333333334,False
H6,100,-0.488047264142541,0.7466666666666667,False,-0.4491494173785654,0.7466666666666667,False
H6,150,-0.7373166098016829,0.52,False,-0.4262637661134976,0.72,False
H6,200,-0.46546919151907185,0.76,False,-0.2557161863081511,0.84,False
H6,300,-0.7598372215048014,0.5733333333333334,False,-0.4537569709395426,0.6533333333333333,False
H4,30,-0.2509700682853442,0.9466666666666667,False,-0.17866343191747303,0.92,False
H4,50,-0.19776007795748116,0.92,False,-0.3082829502747023,0.7466666666666667,False
H4,75,-0.4295351743970748,0.7733333333333333,False,-0.281934554625972,0.92,False
H4,100,-0.4730468372120151,0.6266666666666667,False,-0.370503259031263,0.76,False
H4,150,-0.649766408731946,0.5866666666666667,False,-0.6520563361611531,0.4533333333333333,False
H4,200,-0.7934345195003053,0.48,False,-0.6667521478997996,0.5733333333333334,False
H4,300,-0.8527343603245859,0.4266666666666667,False,-0.7933487736032659,0.4266666666666667,False
Ureilite,30,-0.7446594818595643,0.5066666666666667,False,-0.5844213402935102,0.5333333333333333,False
Ureilite,50,-0.9162757892576259,0.41333333333333333,False,-0.6512972419687085,0.6266666666666667,False
Ureilite,75,-1.2720515835250767,0.18666666666666668,False,-0.8444187714234117,0.38666666666666666,False
Ureilite,100,-1.3873907444233806,0.14666666666666667,False,-0.8187700976199297,0.44,False
Ureilite,150,-1.4225108306973906,0.10666666666666667,False,-1.208025295336026,0.21333333333333335,False
Ureilite,200,-1.495469940864175,0.05333333333333334,False,-1.4510014814444505,0.13333333333333333,False
Ureilite,300,-1.7755399557437097,0.0,True,-2.46633703839266,0.0,True
H5,30,0.04864216107913498,0.88,False,-0.3521096621974804,0.8133333333333334,False
H5,50,-0.1317613133197515,0.9866666666666667,False,-0.14650723597993745,0.9866666666666667,False
H5,75,-0.47409687789957966,0.7333333333333333,False,-0.4800742844311501,0.6666666666666666,False
H5,100,-0.4242377429545986,0.8133333333333334,False,-0.3522187222507207,0.76,False
H5,150,-0.43037540856549494,0.8133333333333334,False,-0.3344799504327807,0.8666666666666667,False
H5,200,-0.4644768517528459,0.7866666666666666,False,-0.2917243268241308,0.7066666666666667,False
H5,300,-0.6602922658465348,0.72,False,-0.5144467026996106,0.64,False
L5,30,0.041358647287930574,0.9733333333333334,False,-0.14767211445428396,0.96,False
L5,50,-0.3206696564107873,0.8933333333333333,False,-0.36346176570953975,0.7866666666666666,False
L5,75,-0.7168187248958812,0.5466666666666666,False,-0.10408997353390935,0.9866666666666667,False
L5,100,-0.1974277924234734,0.9866666666666667,False,-0.25233983840764523,0.84,False
L5,150,-0.5035194159186638,0.6933333333333334,False,-0.25080952402400086,0.7866666666666666,False
L5,200,-0.2787048465870843,0.8933333333333333,False,-0.03234738978823151,0.92,False
L5,300,-0.3405613238896715,0.9066666666666666,False,-0.5004672518950107,0.7333333333333333,False
LL6,30,-0.4227616918044286,0.84,False,-0.32377926011531594,0.8933333333333333,False
LL6,50,-0.441598410396157,0.7333333333333333,False,-0.5061438192516258,0.6666666666666666,False
LL6,75,-0.40597331828644667,0.7466666666666667,False,-0.5782615207089031,0.5733333333333334,False
LL6,100,-0.5709904343510471,0.6533333333333333,False,-0.5355194994580735,0.5866666666666667,False
LL6,150,-0.5759361880297629,0.68,False,-0.8165479321095754,0.4266666666666667,False
LL6,200,-0.7154663326351747,0.5866666666666667,False,-0.9792591182643451,0.38666666666666666,False
LL6,300,-0.7293413893085132,0.52,False,-0.7995527387538645,0.4266666666666667,False
